rule,terms,selected,coverage,hit_rate_reach10,lift_vs_base,selected_avg_final_profit,rejected_avg_final_profit,base_avg_final_profit,proxy_full_profit_from_reach5,proxy_half_profit_from_reach5
adverse_before_5pct <= 0.0125,1,84,0.6942148760330579,0.75,0.06404958677685946,0.07373310981194192,0.052569080468641324,0.06726146447556075,0.06647587788597621,0.058237938942988114
node_body_ratio >= 0.2,1,106,0.8760330578512396,0.6981132075471698,0.012162794324029225,0.06843754738241019,0.05895047860049148,0.06726146447556075,0.06615190101268992,0.05807595050634495
adverse_before_5pct <= 0.0125 AND node_body_ratio >= 0.2,2,75,0.6198347107438017,0.7733333333333333,0.08738292011019277,0.07588030472644977,0.053209007544763445,0.06726146447556075,0.06604151119408043,0.058020755597040216
node_body_ratio >= 0.3,1,100,0.8264462809917356,0.71,0.024049586776859422,0.06867905208532368,0.06051104728621353,0.06726146447556075,0.06543723312836668,0.05771861656418334
node_ret_1h <= -0.015,1,74,0.6115702479338843,0.7702702702702703,0.08431985704712974,0.07508462262566634,0.054944151643479634,0.06726146447556075,0.06534100887850669,0.057670504439253346
node_ret_1h <= -0.015 AND node_close_vs_ema20 <= -0.005,2,74,0.6115702479338843,0.7702702702702703,0.08431985704712974,0.07508462262566634,0.054944151643479634,0.06726146447556075,0.06534100887850669,0.057670504439253346
node_ret_1h <= -0.015 AND node_close_vs_ema20 <= -0.01,2,74,0.6115702479338843,0.7702702702702703,0.08431985704712974,0.07508462262566634,0.054944151643479634,0.06726146447556075,0.06534100887850669,0.057670504439253346
node_ret_1h <= -0.015 AND node_close_vs_ema50 <= -0.005,2,74,0.6115702479338843,0.7702702702702703,0.08431985704712974,0.07508462262566634,0.054944151643479634,0.06726146447556075,0.06534100887850669,0.057670504439253346
node_ret_1h <= -0.015 AND node_close_vs_ema50 <= -0.01,2,74,0.6115702479338843,0.7702702702702703,0.08431985704712974,0.07508462262566634,0.054944151643479634,0.06726146447556075,0.06534100887850669,0.057670504439253346
node_close_vs_ema20 <= -0.01,1,84,0.6942148760330579,0.7380952380952381,0.052144824872097595,0.07203685835138246,0.056420029730452036,0.06726146447556075,0.06529831488856302,0.05764915744428151
node_close_vs_ema20 <= -0.01 AND node_close_vs_ema50 <= -0.005,2,84,0.6942148760330579,0.7380952380952381,0.052144824872097595,0.07203685835138246,0.056420029730452036,0.06726146447556075,0.06529831488856302,0.05764915744428151
node_close_vs_ema20 <= -0.01 AND node_close_vs_ema50 <= -0.01,2,84,0.6942148760330579,0.7380952380952381,0.052144824872097595,0.07203685835138246,0.056420029730452036,0.06726146447556075,0.06529831488856302,0.05764915744428151
adverse_before_5pct <= 0.0125 AND node_body_ratio >= 0.3,2,73,0.6033057851239669,0.7808219178082192,0.09487150458507865,0.0752195338931502,0.05515856723631013,0.06726146447556075,0.06521509069586748,0.05760754534793374
node_close_vs_ema20 <= -0.005 AND node_close_vs_ema50 <= -0.01,2,95,0.7851239669421488,0.7052631578947368,0.01931274467159627,0.06921338911341958,0.06012943214492279,0.06726146447556075,0.06508489227913107,0.05754244613956554
adverse_before_5pct <= 0.0125 AND node_close_vs_ema50 <= -0.01,2,62,0.512396694214876,0.8064516129032258,0.12050119968008521,0.07941164863719521,0.05449347433960592,0.06726146447556075,0.06507043153310829,0.05753521576655414
node_body_ratio >= 0.4,1,90,0.743801652892562,0.7222222222222222,0.03627180899908167,0.07015322174496728,0.05886604014502567,0.06726146447556075,0.06498999964501699,0.05749499982250849
node_ret_1h <= -0.015 AND node_close_vs_ema50 <= -0.015,2,71,0.5867768595041323,0.7746478873239436,0.08869747410080309,0.0754668899007375,0.0556097603718098,0.06726146447556075,0.06494338167729224,0.05747169083864612
node_close_vs_ema20 <= -0.005,1,96,0.7933884297520661,0.6979166666666666,0.011966253443526087,0.06879869232239838,0.06135850954370428,0.06726146447556075,0.06491466498305987,0.05745733249152994
node_close_vs_ema20 <= -0.005 AND node_close_vs_ema50 <= -0.005,2,96,0.7933884297520661,0.6979166666666666,0.011966253443526087,0.06879869232239838,0.06135850954370428,0.06726146447556075,0.06491466498305987,0.05745733249152994
adverse_before_5pct <= 0.0125 AND node_close_vs_ema20 <= -0.005,2,63,0.5206611570247934,0.7936507936507936,0.10770038042765306,0.07861785258224585,0.05492607739416145,0.06726146447556075,0.0649002042370371,0.057450102118518545
node_ret_1h <= -0.01 AND node_close_vs_ema20 <= -0.01,2,83,0.6859504132231405,0.7349397590361446,0.04898934581300407,0.07170031180659471,0.057566087410407675,0.06726146447556075,0.06488533785080464,0.05744266892540232
node_close_vs_ema50 <= -0.01,1,96,0.7933884297520661,0.6979166666666666,0.011966253443526087,0.06842266432962012,0.0628024570359728,0.06726146447556075,0.06461632872432671,0.05730816436216336
node_close_vs_ema50 <= -0.015,1,82,0.6776859504132231,0.7317073170731707,0.04575690385003017,0.07148600057969091,0.05837910651303071,0.06726146447556075,0.06456076072342691,0.05728038036171345
node_close_vs_ema20 <= -0.005 AND node_close_vs_ema50 <= -0.015,2,82,0.6776859504132231,0.7317073170731707,0.04575690385003017,0.07148600057969091,0.05837910651303071,0.06726146447556075,0.06456076072342691,0.05728038036171345
adverse_before_5pct <= 0.0125 AND node_close_vs_ema20 <= -0.01,2,55,0.45454545454545453,0.8363636363636363,0.15041322314049577,0.08196364906452284,0.05500964398475902,0.06726146447556075,0.06452893139296494,0.05726446569648247
node_close_vs_ema20 <= -0.01 AND node_close_vs_ema50 <= -0.015,2,80,0.6611570247933884,0.7375,0.0515495867768595,0.07191073397982066,0.05818971910139508,0.06726146447556075,0.06448643568913763,0.05724321784456882
adverse_before_5pct <= 0.0125 AND node_body_ratio >= 0.4,2,65,0.5371900826446281,0.8,0.1140495867768595,0.07678948211084365,0.05620215829175027,0.06726146447556075,0.06439104410913088,0.05719552205456544
